id,cast_id,character,name,credit_id,department,job,name
31174,13,Lord Stanley,Edward Hardwicke,546110d00e0a2672aa0003d7,Writing,Writer,Ian McKellen
31174,13,Lord Stanley,Edward Hardwicke,546110dcc3a3686f350003e8,Writing,Writer,Richard Loncraine
31174,14,The Duke of Clarence,Nigel Hawthorne,52fe44669251416c9100f5a3,Directing,Director,Richard Loncraine
31174,14,The Duke of Clarence,Nigel Hawthorne,546110c3c3a3686f31000401,Writing,Theatre Play,William Shakespeare
31174,14,The Duke of Clarence,Nigel Hawthorne,546110d00e0a2672aa0003d7,Writing,Writer,Ian McKellen
31174,14,The Duke of Clarence,Nigel Hawthorne,546110dcc3a3686f350003e8,Writing,Writer,Richard Loncraine
31174,15,Lord Hastings,Jim Carter,52fe44669251416c9100f5a3,Directing,Director,Richard Loncraine
31174,15,Lord Hastings,Jim Carter,546110c3c3a3686f31000401,Writing,Theatre Play,William Shakespeare
31174,15,Lord Hastings,Jim Carter,546110d00e0a2672aa0003d7,Writing,Writer,Ian McKellen
31174,15,Lord Hastings,Jim Carter,546110dcc3a3686f350003e8,Writing,Writer,Richard Loncraine
31174,16,The Earl of Richmond,Dominic West,52fe44669251416c9100f5a3,Directing,Director,Richard Loncraine
31174,16,The Earl of Richmond,Dominic West,546110c3c3a3686f31000401,Writing,Theatre Play,William Shakespeare
31174,16,The Earl of Richmond,Dominic West,546110d00e0a2672aa0003d7,Writing,Writer,Ian McKellen
31174,16,The Earl of Richmond,Dominic West,546110dcc3a3686f350003e8,Writing,Writer,Richard Loncraine
31174,20,King Edward IV,John Wood,52fe44669251416c9100f5a3,Directing,Director,Richard Loncraine
31174,20,King Edward IV,John Wood,546110c3c3a3686f31000401,Writing,Theatre Play,William Shakespeare
31174,20,King Edward IV,John Wood,546110d00e0a2672aa0003d7,Writing,Writer,Ian McKellen
31174,20,King Edward IV,John Wood,546110dcc3a3686f350003e8,Writing,Writer,Richard Loncraine
31174,21,Archbishop Thomas,Roger Hammond,52fe44669251416c9100f5a3,Directing,Director,Richard Loncraine
31174,21,Archbishop Thomas,Roger Hammond,546110c3c3a3686f31000401,Writing,Theatre Play,William Shakespeare
31174,21,Archbishop Thomas,Roger Hammond,546110d00e0a2672aa0003d7,Writing,Writer,Ian McKellen
31174,21,Archbishop Thomas,Roger Hammond,546110dcc3a3686f350003e8,Writing,Writer,Richard Loncraine
31174,22,Sir Richard Ratcliffe,Bill Paterson,52fe44669251416c9100f5a3,Directing,Director,Richard Loncraine
31174,22,Sir Richard Ratcliffe,Bill Paterson,546110c3c3a3686f31000401,Writing,Theatre Play,William Shakespeare
31174,22,Sir Richard Ratcliffe,Bill Paterson,546110d00e0a2672aa0003d7,Writing,Writer,Ian McKellen
31174,22,Sir Richard Ratcliffe,Bill Paterson,546110dcc3a3686f350003e8,Writing,Writer,Richard Loncraine
31174,23,Brackenbury,Donald Sumpter,52fe44669251416c9100f5a3,Directing,Director,Richard Loncraine
31174,23,Brackenbury,Donald Sumpter,546110c3c3a3686f31000401,Writing,Theatre Play,William Shakespeare
31174,23,Brackenbury,Donald Sumpter,546110d00e0a2672aa0003d7,Writing,Writer,Ian McKellen
31174,23,Brackenbury,Donald Sumpter,546110dcc3a3686f350003e8,Writing,Writer,Richard Loncraine
31174,24,1st Subaltern,James Dreyfus,52fe44669251416c9100f5a3,Directing,Director,Richard Loncraine
31174,24,1st Subaltern,James Dreyfus,546110c3c3a3686f31000401,Writing,Theatre Play,William Shakespeare
31174,24,1st Subaltern,James Dreyfus,546110d00e0a2672aa0003d7,Writing,Writer,Ian McKellen
31174,24,1st Subaltern,James Dreyfus,546110dcc3a3686f350003e8,Writing,Writer,Richard Loncraine
31174,25,Ballroom Dancer (uncredited),Derek Lyons,52fe44669251416c9100f5a3,Directing,Director,Richard Loncraine
31174,25,Ballroom Dancer (uncredited),Derek Lyons,546110c3c3a3686f31000401,Writing,Theatre Play,William Shakespeare
31174,25,Ballroom Dancer (uncredited),Derek Lyons,546110d00e0a2672aa0003d7,Writing,Writer,Ian McKellen
31174,25,Ballroom Dancer (uncredited),Derek Lyons,546110dcc3a3686f350003e8,Writing,Writer,Richard Loncraine
48750,4,Henri Fortin / Jean Valjean,Jean-Paul Belmondo,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,4,Henri Fortin / Jean Valjean,Jean-Paul Belmondo,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,4,Henri Fortin / Jean Valjean,Jean-Paul Belmondo,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,5,André Ziman,Michel Boujenah,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,5,André Ziman,Michel Boujenah,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,5,André Ziman,Michel Boujenah,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,6,Elise Ziman,Alessandra Martines,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,6,Elise Ziman,Alessandra Martines,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,6,Elise Ziman,Alessandra Martines,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,7,La fille Ziman,Salomé Lelouch,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,7,La fille Ziman,Salomé Lelouch,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,7,La fille Ziman,Salomé Lelouch,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,8,Thénardière 1942,Annie Girardot,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,8,Thénardière 1942,Annie Girardot,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
48750,8,Thénardière 1942,Annie Girardot,52fe4773c3a36847f81365fb,Writing,Writer,Claude Lelouch
48750,9,Thénardier 1942,Philippe Léotard,52fe4773c3a36847f81365ef,Directing,Director,Claude Lelouch
48750,9,Thénardier 1942,Philippe Léotard,52fe4773c3a36847f81365f5,Writing,Writer,Victor Hugo
